"","Dune_Crest_Elevation","Lowest_Recent_Dune_Crest_Elevation","Island_Interior_Width","Narrowest_Recent_Island_Interior_Width","Beach_Width","Change_in_Dune_Crest_Elevation","Change_in_Island_Interior_Width","Change_in_Beach_Width","Shrub_Presence","Island_Name","Year","Transect_Number"
"Smith 2010 11",2.48988779,2.414632,284.112676,284.112676,23.654232159603,0.0752557899999999,-4.61515764643248,97.887324,"Shrub","Smith",2010,11
"Smith 2010 12",2.29556918,1.929546,346.649899,346.649899,19.5718356125742,0.36602318,-4.22855694606229,104.350101,"Shrub","Smith",2010,12
"Smith 2010 13",2.28198137,2.053283,315.382294,315.382294,18.5627570511267,0.22869837,-4.71457187919001,110.617706,"Shrub","Smith",2010,13
"Smith 2010 14",1.92742125,1.92742125,296.60161,296.60161,12.772909047093,-0.08852175,-1.43976015138588,100.39839,"Shrub","Smith",2010,14
"Smith 2010 15",2.20553465,1.688752,293.334004,293.334004,19.4127246155434,0.51678265,-2.17448489580349,104.665996,"Shrub","Smith",2010,15
"Smith 2010 16",2.14336646,2.14336646,317.432596,317.432596,10.8480465606853,-0.69522854,-4.53308694605396,123.567404,"Shrub","Smith",2010,16
"Smith 2010 17",2.27810514,2.25441,670.018109,670.018109,11.0640883923886,0.0236951400000001,-0.793778788546252,124.981891,"Shrub","Smith",2010,17
"Smith 2010 18",2.10725948,2.10725948,598.384306,598.384306,7.73602058017491,-0.0480105199999996,-0.860977843980093,125.615694,"Shrub","Smith",2010,18
"Smith 2010 19",2.32697165,2.215853,643.676056,643.676056,4.42950854812622,0.11111865,-0.568761089039444,116.323944,"Shrub","Smith",2010,19
"Smith 2010 20",2.22565061,1.795731,971.261569,971.261569,6.66485575428773,0.42991961,-0.484332542215689,127.738431,"Shrub","Smith",2010,20
"Smith 2010 21",2.12263907,1.936446,932.432596,932.432596,8.91931909179065,0.18619307,-0.993452133522404,132.567404,"Shrub","Smith",2010,21
"Smith 2010 22",2.12164876,2.12164876,803.45674,803.45674,7.25868334839889,-0.07921624,-2.38445238801905,126.54326,"Shrub","Smith",2010,22
"Smith 2010 23",2.19199698,2.19199698,755.162978,755.162978,6.05630560840756,-0.13084702,-0.284125579904815,112.837022,"Shrub","Smith",2010,23
"Smith 2010 24",2.25726183,2.25726183,691.748491,691.748491,9.583423389993,-0.0399031700000001,-0.731978755953119,122.251509,"Shrub","Smith",2010,24
"Smith 2010 25",2.45768136,2.45768136,699.016097,699.016097,14.1810174451099,-0.16251164,-0.508124861593328,125.983903,"Shrub","Smith",2010,25
"Smith 2010 26",1.91082246,1.91082246,916.2334,916.2334,6.43351804872425,-0.57754754,-1.91963578124448,95.7666,"Shrub","Smith",2010,26
"Smith 2010 27",2.09267196,2.062686,887.551308,887.551308,17.790882320968,0.0299859600000003,-1.74434817013813,125.448692,"Shrub","Smith",2010,27
"Smith 2010 28",2.26215249,2.26215249,849.038229,849.038229,9.43285534538784,-0.26732251,-0.915529248791298,106.961771,"Shrub","Smith",2010,28
"Smith 2010 29",2.1326023,2.1326023,928.014085,928.014085,7.24015122758352,-0.5067737,-0.768328539197171,109.985915,"Shrub","Smith",2010,29
"Smith 2010 30",2.42854594,2.42854594,1052.452716,1052.452716,3.52996391033487,-0.31980606,-0.967700596486348,99.547284,"Shrub","Smith",2010,30
"Smith 2010 31",2.30108822,2.30108822,995.2334,995.2334,7.60981600697643,-0.20427278,-0.95203199150407,115.7666,"Shrub","Smith",2010,31
"Smith 2010 32",1.98564849,1.98564849,997.843058,997.843058,12.0559509872258,-0.78698251,-0.703680173750878,122.156942,"Shrub","Smith",2010,32
"Smith 2010 33",2.092126,2.092126,962.647887,962.647887,14.5421120339811,-0.636501,-0.733093619877719,127.352113,"Shrub","Smith",2010,33
"Smith 2010 34",1.9963443,1.9963443,852.062374,852.062374,14.9552227243674,-1.0439577,-0.864478710139947,120.937626,"Shrub","Smith",2010,34
"Smith 2010 35",2.14044625,2.14044625,835.672032,835.672032,12.619902656595,-1.03819775,-0.461259472356366,110.327968,"Shrub","Smith",2010,35
"Smith 2010 36",2.55037254,2.55037254,725.843058,725.843058,10.6681283354676,-0.58193646,-0.959341119698458,108.156942,"Shrub","Smith",2010,36
"Smith 2010 37",1.9190848,1.9190848,524.501006,524.501006,8.59864749716839,-1.1944622,-1.65157464102595,100.498994,"Shrub","Smith",2010,37
"Smith 2010 38",1.9328835,1.9328835,437.501006,437.501006,12.0251073669936,-1.3587965,-1.31162226125751,104.498994,"Shrub","Smith",2010,38
"Smith 2010 39",1.95842865,1.95842865,368.525151,368.525151,10.0126987635466,-1.08899435,-1.09332180753316,93.474849,"Shrub","Smith",2010,39
"Smith 2010 40",2.76643375,2.76643375,263.768612,263.768612,6.0225455162317,-0.35117625,-2.49856304394852,81.231388,"Shrub","Smith",2010,40
"Smith 2010 41",2.44185774,2.44185774,91.573441,91.573441,6.99337558474604,-0.74246726,-6.32067808291341,80.426559,"Non-shrub","Smith",2010,41
"Smith 2010 42",1.92442695,1.92442695,106.744467,106.744467,8.90931287643667,-1.31013705,-4.98925555148958,86.255533,"Shrub","Smith",2010,42
"Smith 2010 43",2.07605691,2.07605691,75.525151,75.525151,11.1353053386401,-0.99986709,-4.95583127556032,90.474849,"Shrub","Smith",2010,43
"Smith 2010 44",2.01187875,2.01187875,81.939638,81.939638,9.9202773951629,-0.82009425,-4.18877245827743,89.060362,"Shrub","Smith",2010,44
"Smith 2010 45",1.94717799,1.94717799,78.696177,78.696177,19.8151797924802,-0.67274901,-4.44533320878429,113.303823,"Shrub","Smith",2010,45
"Smith 2010 46",1.81322549,1.81322549,79.867203,79.867203,26.4208793950036,-0.68904551,-4.49314637699016,119.132797,"Shrub","Smith",2010,46
"Smith 2010 47",1.65820665,1.65820665,84.696177,84.696177,27.1482544988184,-1.01649035,-4.05290338526715,116.303823,"Non-shrub","Smith",2010,47
"Smith 2010 48",1.51450569,1.51450569,73.891348,73.891348,22.1498614908737,-1.43611331,-4.2193481069684,107.108652,"Non-shrub","Smith",2010,48
"Smith 2010 49",1.72022287,1.72022287,89.28169,89.28169,19.7035663204134,-0.99671013,-3.68167567574366,102.71831,"Non-shrub","Smith",2010,49
"Smith 2010 50",1.740768,1.740768,50.867203,50.867203,24.3983358676319,-1.022615,-5.02155630673001,102.132797,"Shrub","Smith",2010,50
"Smith 2010 51",1.69841922,1.69841922,17.28169,17.28169,10.0112579489936,-1.74643878,-7.03111608520717,91.71831,"Non-shrub","Smith",2010,51
"Smith 2010 52",1.64153031,1.64153031,55.476861,55.476861,8.60265765861814,-2.79582869,-5.2581028002531,87.523139,"Non-shrub","Smith",2010,52
"Smith 2010 53",1.72207375,1.72207375,19.867203,19.867203,10.1011494078783,-2.68272725,-6.22131952221324,86.132797,"Non-shrub","Smith",2010,53
"Smith 2010 54",1.36974009,1.36974009,63.28169,63.28169,11.7574619106836,-1.98629291,-1.23350026985826,87.71831,"Non-shrub","Smith",2010,54
"Smith 2010 55",1.73755906,1.73755906,26.476861,26.476861,20.5240881422572,-1.48393194,-5.72453359042288,90.523139,"Non-shrub","Smith",2010,55
"Smith 2010 56",1.68253084,1.68253084,24.647887,24.647887,25.4218838302995,-0.65109316,-5.42053577674669,90.352113,"Non-shrub","Smith",2010,56
"Smith 2010 57",1.67971462,1.67971462,75.915493,75.915493,23.6588121527157,-1.24705038,-1.05131199818884,88.084507,"Non-shrub","Smith",2010,57
"Smith 2010 58",1.01650136,1.01650136,137.036217,77.068,17.4311312020625,-1.75208364,5.98554493334558,65.963783,"Non-shrub","Smith",2010,58
"Smith 2010 59",1.10222558,1.10222558,66.136821,62.9908,36.6313881503278,-1.17899042,0.38418565153104,116.863179,"Non-shrub","Smith",2010,59
"Smith 2010 60",1.01034205,1.01034205,86.551308,64.8418,29.5346471382761,-2.15785295,2.57544077099364,116.448692,"Non-shrub","Smith",2010,60
"Smith 2010 61",1.17072733,1.17072733,79.086519,78.6001,20.0529958202229,-1.07201167,0.0476040694017528,86.913481,"Non-shrub","Smith",2010,61
"Smith 2010 62",1.39297517,1.39297517,56.549296,56.549296,7.53711605129228,-2.10478983,-0.549445641322055,76.450704,"Non-shrub","Smith",2010,62
"Smith 2010 63",1.29734136,1.29734136,61.963783,61.963783,7.9616946457888,-2.36678464,-2.01780646113698,77.036217,"Non-shrub","Smith",2010,63
"Smith 2010 64",1.50309577,1.50309577,29.183099,29.183099,29.0394331257093,-2.25153523,-4.01110311513139,116.816901,"Non-shrub","Smith",2010,64
"Smith 2010 65",1.62749145,1.62749145,36.207243,36.207243,47.0689659662624,-0.86600755,-2.19655102487501,132.792757,"Non-shrub","Smith",2010,65
"Smith 2010 66",1.50258623,1.50258623,38.207243,38.207243,31.7605025728696,-0.85087277,-3.57895583948093,127.792757,"Non-shrub","Smith",2010,66
"Smith 2010 67",1.44320953,1.44320953,36.183099,36.183099,40.3907344580882,-0.69971447,-4.5616735742948,153.816901,"Non-shrub","Smith",2010,67
"Smith 2010 68",1.36007704,1.36007704,123.744467,113.5756,30.1326644910804,-0.51931396,0.688722347459787,132.255533,"Non-shrub","Smith",2010,68
"Smith 2010 69",1.3817662,1.3817662,39.915493,39.915493,22.4092274076706,-0.4873638,-3.95185848785201,124.084507,"Non-shrub","Smith",2010,69
"Smith 2010 70",1.60593941,1.60593941,6.79275699999999,6.79275699999999,65.8627066699228,-0.53563159,-7.3402011511025,108.207243,"Non-shrub","Smith",2010,70
"Smith 2010 71",1.5521384,1.5521384,48.402414,48.402414,65.6021418501612,-0.4182506,-2.72331318492864,123.597586,"Non-shrub","Smith",2010,71
"Smith 2010 72",1.65025387,1.65025387,70.255533,42.0949,51.2015216153352,-0.14089613,5.14599758750238,113.744467,"Non-shrub","Smith",2010,72
"Smith 2010 73",1.69612256,1.589468,24.963783,24.963783,59.7805982401007,0.10665456,-1.10251825908097,132.036217,"Non-shrub","Smith",2010,73
"Smith 2010 74",1.90541812,1.90541812,17.498994,17.498994,43.671564455689,-0.10618188,-6.31801002823755,120.501006,"Non-shrub","Smith",2010,74
"Smith 2010 75",1.66445425,1.66445425,47.571429,42.0381,45.4555767455607,-0.17550875,1.0125117269993,114.428571,"Non-shrub","Smith",2010,75
"Smith 2010 76",1.6498866,1.6498866,31.181087,31.181087,79.1096041190058,-0.2656084,-4.68774531064194,119.818913,"Non-shrub","Smith",2010,76
"Smith 2010 77",1.74969795,1.74969795,40.034205,40.034205,74.3492094906717,-0.26060505,-5.21827535108505,109.965795,"Non-shrub","Smith",2010,77
"Smith 2010 78",1.97469888,1.936281,98.181087,98.181087,63.5222882323871,0.0384178800000001,-3.96690235216636,128.818913,"Non-shrub","Smith",2010,78
"Smith 2010 79",1.77816436,1.748369,15.889336,15.889336,99.0876627271888,0.02979536,-6.82751001008411,144.110664,"Non-shrub","Smith",2010,79
"Smith 2010 80",1.52230806,1.52230806,28.71831,28.71831,79.754130720212,-0.31431094,-5.68837914717077,123.28169,"Non-shrub","Smith",2010,80
"Smith 2010 81",1.54773713,1.54773713,25.889336,25.889336,97.990886618474,-0.18681187,-2.87467870019307,107.110664,"Non-shrub","Smith",2010,81
"Smith 2010 82",1.45529461,1.45529461,94.645875,9.6572,52.435537892553,-0.20836939,67.696541281276,85.354125,"Non-shrub","Smith",2010,82
"Smith 2010 83",1.59565261,1.59565261,25.450704,25.450704,53.4894956975776,-0.11398639,-4.30251705969835,78.549296,"Non-shrub","Smith",2010,83
"Smith 2010 84",1.69922585,1.665136,14.231388,14.231388,39.6342021028168,0.03408985,-5.21414785039295,80.768612,"Non-shrub","Smith",2010,84
"Smith 2010 85",1.78609565,1.772252,68.450704,36.3485,42.9024171441811,0.0138436500000001,6.79367871491893,78.549296,"Non-shrub","Smith",2010,85
"Smith 2010 86",1.78269412,1.450609,13.474849,9.145,90.2239972913088,0.33208512,3.64204819783825,85.525151,"Non-shrub","Smith",2010,86
"Smith 2010 87",1.6345636,1.6345636,21.523139,21.523139,65.1650722501619,-0.2245564,-5.73964443304952,90.476861,"Non-shrub","Smith",2010,87
"Smith 2010 88",1.43207369,1.43207369,66.571429,66.571429,33.7073758496987,-0.23506831,-0.681553571669285,94.428571,"Non-shrub","Smith",2010,88
"Smith 2010 89",1.63798091,1.63798091,34.400402,34.400402,23.2573146372327,-0.15263609,-5.91950487020349,86.599598,"Non-shrub","Smith",2010,89
